ra,dec,brickname
41.55172413793103,-43.75,0415m437
41.570762052877136,-27.0,0415m270
41.572123176661265,-31.25,0415m312
41.5736040609137,-35.0,0415m350
41.57439446366782,-36.75,0415m367
41.575221238938056,-38.5,0415m385
41.57699443413729,-41.75,0415m417
41.57794676806083,-43.25,0415m432
41.578947368421055,-44.75,0415m447
41.5919629057187,-26.25,0415m262
41.59305993690852,-28.5,0415m285
41.596638655462186,-34.5,0415m345
41.597938144329895,-36.25,0415m362
41.59929701230229,-38.0,0415m380
41.60220994475138,-41.25,0416m412
41.60377358490566,-42.75,0416m427
41.60541586073501,-44.25,0416m442
41.61290322580645,-25.5,0416m255
41.61442006269593,-27.75,0416m277
41.616,-30.0,0416m300
41.61764705882353,-32.0,0416m320
41.62116040955632,-35.75,0416m357
41.62303664921466,-37.5,0416m375
41.62705667276051,-40.75,0416m407
41.63751987281399,-29.25,0416m292
41.64179104477612,-33.25,0416m332
41.651542649727766,-40.25,0416m402
41.656346749226,-26.5,0416m265
41.66129032258065,-30.75,0416m307
41.663920922570014,-32.75,0416m327
41.67567567567568,-39.75,0416m397
41.676923076923075,-25.75,0416m257
41.679748822605966,-28.0,0416m280
41.68896321070234,-34.0,0416m340
41.6994633273703,-39.25,0416m392
41.70046801872075,-27.25,0417m272
41.703821656050955,-29.5,0417m295
41.707317073170735,-31.5,0417m315
41.7109634551495,-33.5,0417m335
41.71153846153846,-44.0,0417m440
41.71477079796265,-35.25,0417m352
41.71875,-37.0,0417m370
41.72291296625222,-38.75,0417m387
41.7246835443038,-28.75,0417m287
41.73184357541899,-42.0,0417m420
41.73664122137404,-43.5,0417m435
41.73693086003372,-34.75,0417m347
41.741379310344826,-36.5,0417m365
41.74603174603175,-38.25,0417m382
41.74959871589085,-30.25,0417m302
41.75409836065574,-32.25,0417m322
41.75600739371534,-41.5,0417m415
41.75879396984924,-34.25,0417m342
41.76136363636363,-43.0,0417m430
41.763698630136986,-36.0,0417m360
41.765625,-27.5,0417m275
41.76699029126213,-44.5,0417m445
41.768826619964976,-37.75,0417m377
41.77524429967427,-31.75,0417m317
41.77981651376147,-41.0,0417m410
41.785714285714285,-26.75,0417m267
41.785714285714285,-35.5,0417m355
41.785714285714285,-42.5,0417m425
41.79080824088748,-29.0,0417m290
41.791304347826085,-37.25,0417m372
41.79611650485437,-31.0,0417m310
41.80165289256198,-33.0,0418m330
41.80327868852459,-40.5,0418m405
41.80555555555556,-26.0,0418m260
41.811023622047244,-28.25,0418m282
41.81672025723473,-30.5,0418m305
41.82266009852217,-32.5,0418m325
41.82515337423313,-25.25,0418m252
41.826401446654614,-40.0,0418m400
41.8370607028754,-29.75,0418m297
41.8491921005386,-39.5,0418m395
41.85,-33.75,0418m337
41.850699844479,-27.0,0418m270
41.86385737439222,-31.25,0418m312
41.87017001545595,-26.25,0418m262
41.8716577540107,-39.0,0418m390
41.87697160883281,-28.5,0418m285
41.878172588832484,-35.0,0418m350
41.88581314878893,-36.75,0418m367
41.88785046728972,-42.25,0418m422
41.88940092165899,-25.5,0418m255
41.89380530973451,-38.5,0418m385
41.89655172413793,-27.75,0418m277
41.89655172413793,-43.75,0418m437
41.89915966386555,-34.5,0418m345
41.904,-30.0,0419m300
41.90721649484536,-36.25,0419m362
41.91094619666048,-41.75,0419m417
41.911764705882355,-32.0,0419m320
41.91564147627417,-38.0,0419m380
41.92015209125475,-43.25,0419m432
41.92368839427663,-29.25,0419m292
41.9283276450512,-35.75,0419m357
41.92982456140351,-44.75,0419m447
41.93370165745856,-41.25,0419m412
41.93498452012384,-26.5,0419m265
41.93717277486911,-37.5,0419m375
41.940298507462686,-33.25,0419m332
41.943396226415096,-42.75,0419m427
41.95161290322581,-30.75,0419m307
41.95357833655706,-44.25,0419m442
41.95384615384615,-25.75,0419m257
41.95612431444241,-40.75,0419m407
41.960461285008236,-32.75,0419m327
41.96232339089482,-28.0,0419m280
41.97822141560798,-40.25,0419m402
41.981279251170044,-27.25,0419m272
41.98996655518395,-34.0,0419m340
41.99044585987261,-29.5,0419m295
42.0,-31.5,0420m315
42.0,-39.75,0420m397
42.00949367088607,-28.75,0420m287
42.009966777408636,-33.5,0420m335
42.02037351443124,-35.25,0420m352
42.021466905187836,-39.25,0420m392
42.03125,-37.0,0420m370
42.03852327447833,-30.25,0420m302
42.04047217537943,-34.75,0420m347
42.04262877442274,-38.75,0420m387
42.046875,-27.5,0420m275
42.049180327868854,-32.25,0420m322
42.05172413793103,-36.5,0420m365
42.05769230769231,-44.0,0420m440
42.06030150753769,-34.25,0420m342
42.06349206349206,-38.25,0420m382
42.06521739130435,-26.75,0420m267
42.06703910614525,-42.0,0420m420
42.068403908794785,-31.75,0420m317
42.071917808219176,-36.0,0420m360
42.07606973058637,-29.0,0420m290
42.08015267175573,-43.5,0420m435
42.083333333333336,-26.0,0420m260
42.08406304728546,-37.75,0420m377
42.0873786407767,-31.0,0420m310
42.08872458410351,-41.5,0420m415
42.09183673469388,-35.5,0420m355
42.09448818897638,-28.25,0420m282
42.099173553719005,-33.0,0420m330
42.10122699386503,-25.25,0421m252
42.10227272727273,-43.0,0421m430
42.10434782608696,-37.25,0421m372
42.10610932475884,-30.5,0421m305
42.11009174311926,-41.0,0421m410
42.116504854368934,-44.5,0421m445
42.118226600985224,-32.5,0421m325
42.12406015037594,-42.5,0421m425
42.12460063897763,-29.75,0421m297
42.13063763608087,-27.0,0421m270
42.131147540983605,-40.5,0421m405
42.1483771251932,-26.25,0421m262
42.15,-33.75,0421m337
42.151898734177216,-40.0,0421m400
42.15559157212318,-31.25,0421m312
42.1608832807571,-28.5,0421m285
42.16589861751152,-25.5,0421m255
42.17235188509874,-39.5,0421m395
42.17868338557994,-27.75,0421m277
42.18274111675127,-35.0,0421m350
42.192,-30.0,0421m300
42.19251336898396,-39.0,0421m390
42.19723183391003,-36.75,0421m367
42.20168067226891,-34.5,0422m345
42.205882352941174,-32.0,0422m320
42.209856915739266,-29.25,0422m292
42.21238938053097,-38.5,0422m385
42.21362229102167,-26.5,0422m265
42.21649484536083,-36.25,0422m362
42.22429906542056,-42.25,0422m422
42.23076923076923,-25.75,0422m257
42.23198594024605,-38.0,0422m380
42.23549488054608,-35.75,0422m357
42.23880597014925,-33.25,0422m332
42.241379310344826,-43.75,0422m437
42.24193548387097,-30.75,0422m307
42.244897959183675,-28.0,0422m280
42.244897959183675,-41.75,0422m417
42.25130890052356,-37.5,0422m375
42.25700164744646,-32.75,0422m327
42.262090483619346,-27.25,0422m272
42.26235741444867,-43.25,0422m432
42.26519337016575,-41.25,0422m412
42.27707006369427,-29.5,0422m295
42.280701754385966,-44.75,0422m447
42.283018867924525,-42.75,0422m427
42.285191956124315,-40.75,0422m407
42.290969899665555,-34.0,0422m340
42.292682926829265,-31.5,0422m315
42.29430379746835,-28.75,0422m287
42.30174081237911,-44.25,0423m442
42.3049001814882,-40.25,0423m402
42.308970099667775,-33.5,0423m335
42.32432432432432,-39.75,0423m397
42.32597623089983,-35.25,0423m352
42.32744783306581,-30.25,0423m302
42.328125,-27.5,0423m275
42.34347048300537,-39.25,0423m392
42.34375,-37.0,0423m370
42.344013490725125,-34.75,0423m347
42.34426229508197,-32.25,0423m322
42.34472049689441,-26.75,0423m267
42.361111111111114,-26.0,0423m260
42.36133122028526,-29.0,0423m290
42.36156351791531,-31.75,0423m317
42.36180904522613,-34.25,0423m342
42.36206896551724,-36.5,0423m365
42.36234458259325,-38.75,0423m387
42.377300613496935,-25.25,0423m252
42.37795275590551,-28.25,0423m282
42.37864077669903,-31.0,0423m310
42.38013698630137,-36.0,0423m360
42.38095238095238,-38.25,0423m382
42.39549839228296,-30.5,0423m305
42.396694214876035,-33.0,0423m330
42.39795918367347,-35.5,0423m355
42.399299474605954,-37.75,0423m377
42.402234636871505,-42.0,0424m420
42.40384615384615,-44.0,0424m440
42.41057542768274,-27.0,0424m270
42.412140575079874,-29.75,0424m297
42.41379310344828,-32.5,0424m325
42.417391304347824,-37.25,0424m372
42.42144177449168,-41.5,0424m415
42.4236641221374,-43.5,0424m435
42.426584234930445,-26.25,0424m262
42.440366972477065,-41.0,0424m410
42.44239631336406,-25.5,0424m255
42.44318181818182,-43.0,0424m430
42.44479495268139,-28.5,0424m285
42.44732576985413,-31.25,0424m312
42.45,-33.75,0424m337
42.459016393442624,-40.5,0424m405
42.460815047021946,-27.75,0424m277
42.462406015037594,-42.5,0424m425
42.46601941747573,-44.5,0424m445
42.47739602169982,-40.0,0424m400
42.48,-30.0,0424m300
42.48730964467005,-35.0,0424m350
42.4922600619195,-26.5,0424m265
42.49551166965889,-39.5,0424m395
42.49602543720191,-29.25,0424m292
42.5,-32.0,0425m320
42.50420168067227,-34.5,0425m345
42.50769230769231,-25.75,0425m257
42.50865051903114,-36.75,0425m367
42.51336898395722,-39.0,0425m390
42.52577319587629,-36.25,0425m362
42.527472527472526,-28.0,0425m280
42.530973451327434,-38.5,0425m385
42.53225806451613,-30.75,0425m307
42.53731343283582,-33.25,0425m332
42.54266211604096,-35.75,0425m357
42.54290171606864,-27.25,0425m272
42.54833040421793,-38.0,0425m380
42.55354200988468,-32.75,0425m327
42.5607476635514,-42.25,0425m422
42.56369426751592,-29.5,0425m295
42.56544502617801,-37.5,0425m375
42.57884972170687,-41.75,0425m417
42.57911392405063,-28.75,0425m287
42.58536585365854,-31.5,0425m315
42.58620689655172,-43.75,0425m437
42.591973244147155,-34.0,0425m340
42.59668508287293,-41.25,0425m412
42.60456273764259,-43.25,0426m432
42.60797342192691,-33.5,0426m335
42.609375,-27.5,0426m275
42.61425959780622,-40.75,0426m407
42.61637239165329,-30.25,0426m302
42.62264150943396,-42.75,0426m427
42.62422360248447,-26.75,0426m267
42.63157894736842,-35.25,0426m352
42.63157894736842,-40.25,0426m402
42.63157894736842,-44.75,0426m447
42.638888888888886,-26.0,0426m260
42.63934426229508,-32.25,0426m322
42.646592709984155,-29.0,0426m290
42.64755480607083,-34.75,0426m347
42.648648648648646,-39.75,0426m397
42.64990328820116,-44.25,0426m442
42.65337423312884,-25.25,0426m252
42.65472312703583,-31.75,0426m317
42.65625,-37.0,0426m370
42.661417322834644,-28.25,0426m282
42.663316582914575,-34.25,0426m342
42.665474060822895,-39.25,0426m392
42.66990291262136,-31.0,0426m310
42.672413793103445,-36.5,0426m365
42.682060390763766,-38.75,0426m387
42.68488745980707,-30.5,0426m305
42.68835616438356,-36.0,0426m360
42.690513219284604,-27.0,0426m270
42.69421487603306,-33.0,0426m330
42.698412698412696,-38.25,0426m382
42.69968051118211,-29.75,0426m297
42.704081632653065,-35.5,0427m355
42.7047913446677,-26.25,0427m262
42.70935960591133,-32.5,0427m325
42.714535901926446,-37.75,0427m377
42.71889400921659,-25.5,0427m255
42.72870662460568,-28.5,0427m285
42.7304347826087,-37.25,0427m372
42.737430167597765,-42.0,0427m420
42.73905996758509,-31.25,0427m312
42.74294670846395,-27.75,0427m277
42.75,-33.75,0427m337
42.75,-44.0,0427m440
42.75415896487985,-41.5,0427m415
42.767175572519086,-43.5,0427m435
42.768,-30.0,0427m300
42.77064220183486,-41.0,0427m410
42.77089783281734,-26.5,0427m265
42.78219395866455,-29.25,0427m292
42.78409090909091,-43.0,0427m430
42.784615384615385,-25.75,0427m257
42.78688524590164,-40.5,0427m405
42.79187817258883,-35.0,0427m350
42.794117647058826,-32.0,0427m320
42.80075187969925,-42.5,0428m425
42.802893309222426,-40.0,0428m400
42.80672268907563,-34.5,0428m345
42.810047095761384,-28.0,0428m280
42.81553398058252,-44.5,0428m445
42.81867145421903,-39.5,0428m395
42.82006920415225,-36.75,0428m367
42.82258064516129,-30.75,0428m307
42.823712948517944,-27.25,0428m272
42.83422459893048,-39.0,0428m390
42.83505154639175,-36.25,0428m362
42.83582089552239,-33.25,0428m332
42.849557522123895,-38.5,0428m385
42.84982935153584,-35.75,0428m357
42.8500823723229,-32.75,0428m327
42.85031847133758,-29.5,0428m295
42.86392405063291,-28.75,0428m287
42.86467486818981,-38.0,0428m380
42.8780487804878,-31.5,0428m315
42.87958115183246,-37.5,0428m375
42.890625,-27.5,0428m275
42.89297658862876,-34.0,0428m340
42.89719626168224,-42.25,0428m422
42.90372670807454,-26.75,0429m267
42.90529695024077,-30.25,0429m302
42.906976744186046,-33.5,0429m335
42.91280148423006,-41.75,0429m417
42.916666666666664,-26.0,0429m260
42.92817679558011,-41.25,0429m412
42.92944785276074,-25.25,0429m252
42.93103448275862,-43.75,0429m437
42.931854199683045,-29.0,0429m290
42.9344262295082,-32.25,0429m322
42.93718166383701,-35.25,0429m352
42.94332723948812,-40.75,0429m407
42.94488188976378,-28.25,0429m282
42.946768060836504,-43.25,0429m432
42.94788273615635,-31.75,0429m317
42.951096121416526,-34.75,0429m347
42.95825771324864,-40.25,0429m402
42.96116504854369,-31.0,0429m310
42.9622641509434,-42.75,0429m427
42.96482412060301,-34.25,0429m342
42.96875,-37.0,0429m370
42.97045101088647,-27.0,0429m270
42.972972972972975,-39.75,0429m397
42.97427652733119,-30.5,0429m305
42.98245614035088,-44.75,0429m447
42.98275862068966,-36.5,0429m365
42.98299845440494,-26.25,0429m262
42.98722044728434,-29.75,0429m297
42.98747763864043,-39.25,0429m392
42.99173553719008,-33.0,0429m330
42.995391705069125,-25.5,0429m255
42.99657534246575,-36.0,0429m360
42.99806576402321,-44.25,0429m442
43.00177619893428,-38.75,0430m387
43.004926108374384,-32.5,0430m325
43.01020408163265,-35.5,0430m355
43.01261829652997,-28.5,0430m285
43.01587301587302,-38.25,0430m382
